accession,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,norm int m/z_126.127725_2,norm int m/z_127.12476_2,norm int m/z_128.134433_2,norm int m/z_129.131468_2,norm int m/z_130.141141_2,norm int m/z_131.138176_2
P09493,20.02165085270672,20.242515029611948,19.947150417166142,19.90437303245595,19.818700094358597,19.92033486988625,20.577977763381234,20.678832572990178,20.46462451794174,20.408992996443914,20.342325791818602,20.451591671074045
P67936,19.49178041967571,19.742870363032925,19.479115706768418,19.41844414454522,19.374157549788883,19.398579542643507,19.473143256342244,19.67145684231419,19.422633423396288,19.404433482156367,19.335004016347835,19.40260368139689
P56381,20.67947129396685,20.699238620644316,21.003622219124523,20.63749849092551,20.718287868684683,20.647143282078922,20.775768062079205,20.744428193270473,21.073572615851113,20.652769127659163,20.67455780684864,20.62443433895981
P39019,18.33121625632568,18.32294855687457,18.359415593077365,18.366671019767583,18.38454347199451,18.35620877520892,18.357629319234697,18.490112860776698,18.333893459252668,18.369963630363046,18.45685731331848,18.38174571453657
P62857,18.702999511098277,19.548269724253895,18.928171353894726,19.272717481506113,18.917309428767336,18.974936873923223,18.547655206173662,19.665317698770025,18.697921176773985,19.458406613236534,18.91322105761926,18.947919400031793
Q9NX63,19.167593841079626,19.31073449504442,19.246918002340028,19.170071923707887,19.27321037348281,19.348114036278435,19.526489419912856,19.62987672748653,19.55966862212431,19.53856936526703,19.637874921457495,19.699111269403353
O00483,21.460541761554985,21.33009994932527,21.36832933862394,21.295317236935784,21.126216858090775,21.353391043332074,21.555163437395098,21.36222256837289,21.526649909991136,21.388139968506337,21.24079489511503,21.444559778027916
P56556,18.569784420964098,18.53707352304194,18.597058123218247,18.411592911856747,18.429059332148142,18.475467460209398,18.529205573057563,18.497108543135617,18.563703976305533,18.259309593860447,18.342998416360082,18.422758073396846
P09669,20.728607561104564,20.64903011585122,21.082497320661023,20.918767661558835,20.90631347702257,20.57653047840624,20.85396834282867,20.760769074786793,21.06683664388518,20.988100770127005,20.985307949769837,20.626964697922077
P14854,19.07220327556334,19.01358643126121,19.035477725460915,18.979227701095734,18.846743717232265,18.939496716326797,19.177031374101336,19.125062153223947,19.143345842633753,19.102073097161405,18.985812063952118,19.049909688311942
P19429,19.804141485323953,19.746130362039416,19.74183397320024,19.696675535624497,19.5089695716586,19.543496733013917,19.506118878358,19.495578297509226,19.540718966672124,19.36630513678867,19.28831036540708,19.28057716046163
Q9UII2,19.021576454666032,19.136059397727497,18.964877243212047,19.386195523782405,19.484825647134084,19.277837224741575,19.24151398904746,19.400500905934372,19.19363700796417,19.62694848305944,19.712492743548882,19.517310684120044
P62899,17.94012286566899,17.997241514520187,17.98360461043927,17.939198966961136,17.96684900637655,18.009959797301295,18.09602019606966,18.23346052517833,18.31839937685336,18.10440679503471,18.254366635503228,18.19333043797097
P32119,19.250025684418354,19.38692105325833,19.089781488353996,19.278377424216767,19.516745053939648,19.326901231798367,19.639475848985292,19.788229768567014,19.480454948823553,19.652002320608844,19.86423728374132,19.68533139975638
P09382,20.873925335135915,20.893432265026902,20.77282921940639,20.663920051117294,21.105884377112165,20.92511903329929,20.982143317356368,21.021709620244838,20.870469418586868,20.774304485107653,21.20176834234358,21.022541122182947
P06753,19.33502759834095,19.76880552085311,19.298792427833828,19.268050069895292,19.173778377076342,19.264925021511786,19.46521772917866,19.87136019664792,19.420436938732927,19.369949619577884,19.290521118153897,19.41382363051394
Q9Y281,20.96574121450024,20.94139594365115,20.88186974806944,21.258390551293193,21.09884730082329,21.03050982722169,21.77495306812229,21.76715694556125,21.7494571764642,22.051551427196294,21.849033092901905,21.80355143512941
Q06830,19.899462976111977,19.789370555685426,19.785997287256684,19.84959666561923,20.003553445964,19.88251966244933,19.757511179514125,19.643182516531,19.58939715971535,19.64478594587539,19.774150558149316,19.680632894531325
P62937,19.9714607587158,19.964343533242154,19.863637135594924,20.08415122697962,20.20638907979641,20.093412547857046,19.1706003483957,19.174985400306156,18.972172081440796,19.226954639682518,19.383468053417506,19.25038130589893
P00505,20.91845744988538,20.78259355840339,20.501190956111742,20.943644668784305,21.11562776688133,20.95288282504874,20.59531746924463,20.420837253811786,20.111391348173225,20.699645987761265,20.895529923806524,20.619824917548666
P02545,19.99258598971719,19.854988680933552,19.92507290583044,19.935273352433224,20.146191777024235,19.94544172162466,19.40100179123401,19.362290856494653,19.31037664704567,19.181265011549606,19.536939157020004,19.287682217890968
P62244,19.484394168669642,19.715119095340373,19.621298908217213,19.530509975261598,19.594568813747934,19.61383082225009,19.573289930692845,19.899763449772443,19.623250301445797,19.64307510559123,19.38778385468794,19.526093041908698
Q99584,19.127330016859887,18.950958785274818,18.77110253929966,19.27755019340173,19.504419442062368,19.134198800448242,19.007450964574463,18.805404598692885,18.592824723179216,19.10514633486698,19.35014930108743,18.96288753508068
P06703,19.578031109948043,19.648626166261998,19.692059213864002,20.291276760728298,20.696884068787355,19.861402991131317,20.375703935287913,20.430611297374746,20.53668451946839,21.265617335486503,21.73635795470438,20.685280490829136
P21912,19.526402018235554,19.69673570410512,19.847450265072556,19.401408024443874,19.6864532160173,19.507541309512078,19.759798154973527,19.803116080197476,20.09144416759547,19.60010727657012,19.835995786828715,19.71966422019809
P08670,18.852706580283034,18.995905934935895,19.042106048183662,18.930034111048066,19.58594308306193,19.365692648248803,19.503692606100223,19.57799245508246,19.651627220267574,19.604436043714273,20.097615657137265,19.906342128124024
Q9UJY1,18.604231059553015,18.683734828010685,18.704159210486598,18.831947362031773,18.97107478602235,18.852423347887203,18.856908145717867,18.974316552944476,19.001922172896066,19.10776621785386,19.28185397927882,19.11907739334203
P61981,19.567468545907623,19.719979828600966,19.684368874214236,19.745921123897627,19.797724370114725,19.774172231517845,19.31397216793769,19.489061986113033,19.40297768557263,19.578977029455665,19.59419428102182,19.65993560008171
Q9H0N5,18.44956983755163,18.648031000464158,18.635024581873097,18.47723354531301,18.576986179441842,18.581758692820948,18.417788660639257,18.654874609762413,18.605049012389767,18.51765497249007,18.57958111450216,18.563476531473526
