,Prosser_1383_Control.txt,Prosser_1195_Disease.txt,Prosser_1427_Disease.txt,Prosser_1136_Disease.txt,Prosser_1325_Control.txt,Prosser_1467_Disease.txt,Prosser_1119_Disease.txt,Prosser_1085_Control.txt,Prosser_1198_Disease.txt,Prosser_1228_Disease.txt,Prosser_1288_Disease.txt,Prosser_1146_Disease.txt,Prosser_1425_Disease.txt,Prosser_1200_Control.txt,Prosser_1605_Disease.txt,Prosser_1273_Control.txt,Prosser_1311_Disease.txt,Prosser_1510_Disease.txt,Prosser_1375_Disease.txt,Prosser_1205_Disease.txt,Prosser_1366_Disease.txt,Prosser_1290_Disease.txt,Prosser_1462_Disease.txt,Prosser_1535_Disease.txt,Prosser_1339_Control.txt,Prosser_1004_Disease.txt,Prosser_1602_Disease.txt,Prosser_1356_Control.txt,Prosser_1320_Disease.txt,Prosser_1209_Disease.txt,Prosser_1379_Disease.txt,Prosser_1304_Disease.txt,Prosser_1472_Disease.txt,Prosser_1086_Disease.txt
P05388,3,3,2,3,2,,2,2,,3,4,3,,3,2,3,3,2,2,2,2,2,4,2,5,2,2,6,,2,,2,2,3
P29218,3,,3,,,,,,,3,3,2,,,3,4,3,2,6,,,,3,2,,,,,2,5,2,,3,
Q6PI78,4,2,,3,4,,5,3,3,3,3,,2,4,,3,3,3,3,2,3,2,3,3,3,,6,2,,4,,3,4,4
O14958,5,12,11,11,8,7,9,7,4,8,5,8,5,10,5,8,7,7,9,8,13,8,7,7,10,9,6,7,5,4,7,6,7,6
P54920,3,3,3,4,,2,5,2,2,2,3,4,,5,4,2,4,3,6,6,3,3,,,3,6,3,4,3,4,3,3,,3
P21796,5,10,11,6,9,5,4,6,5,5,9,5,4,2,5,10,8,4,12,3,9,8,6,4,5,5,7,8,4,4,8,5,4,9
P55072,11,13,11,9,8,10,12,9,10,13,14,12,10,6,10,13,15,10,10,6,12,11,8,12,13,9,10,11,15,14,11,15,8,13
P06744,7,8,6,6,6,7,7,9,7,9,11,12,4,7,7,7,6,7,8,6,7,8,8,8,10,5,7,6,7,6,9,6,9,5
Q13561,4,5,4,4,2,,2,2,4,,2,3,,3,,4,4,,4,,4,,3,4,,3,2,4,,3,,2,2,3
Q9H7Z7,4,,2,3,3,3,3,2,4,2,3,3,4,3,3,3,2,4,3,2,2,4,3,3,3,3,3,2,2,4,5,4,2,2
Q13423,19,12,10,12,6,9,13,8,10,9,7,14,7,8,7,17,12,9,14,15,16,9,14,10,8,11,8,11,7,15,8,8,8,16
P26038,5,14,12,10,5,8,8,6,9,6,9,10,8,13,7,13,9,7,12,11,10,8,7,5,12,13,5,11,9,7,6,7,6,9
P63151,6,4,4,6,,3,5,,4,2,2,4,,5,,5,3,,3,5,4,2,3,2,3,2,2,3,,4,3,,,5
Q9Y276,3,,2,5,,,6,,6,,,6,,4,,3,,,,5,3,,4,,,,,2,,4,,,,5
P14625,8,14,11,12,7,8,14,11,10,8,10,9,7,13,11,11,11,14,14,10,11,6,7,9,12,11,4,11,9,8,9,10,8,10
O43615,7,5,6,7,8,4,11,11,,8,4,9,6,8,4,9,5,5,5,7,9,3,,4,6,3,6,4,2,3,5,4,4,6
P05165,6,3,5,8,7,7,11,6,5,5,8,11,8,11,7,10,7,7,6,9,9,7,5,8,8,6,6,9,5,5,7,4,6,7
P13929,7,10,11,10,6,5,10,6,8,4,5,9,4,12,4,12,8,8,11,10,9,7,3,6,14,5,8,2,3,8,14,12,5,10
Q9Y2Z9,4,3,7,7,5,4,4,7,4,3,2,5,4,6,2,9,4,5,4,6,5,2,4,3,4,4,3,3,4,5,4,4,3,2
